"Daily Weather Observations for Perth, Western Australia for February 2025"
"Prepared at 13:03 UTC on Saturday 17 May 2025   IDCJDW6111.202502"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-02-1,18.5,33.9,0,8.0,12.7,SSW,33,16:28,23.9,63,1,SSE,9,1011.1,31.6,39,1,SW,17,1007.8
,2025-02-2,19.8,32.6,0,10.8,12.7,SSW,33,15:35,26.3,46,0,N,2,1009.3,28.6,45,0,WSW,17,1008.1
,2025-02-3,18.7,31.5,0,8.0,12.7,SSW,41,14:17,22.6,64,1,SSE,13,1012.8,28.8,49,0,SW,22,1009.8
,2025-02-4,18.2,36.0,0,11.2,12.7,E,44,07:02,23.0,46,0,E,15,1013.9,34.3,19,0,SE,11,1008.6
,2025-02-5,20.3,38.5,0,9.0,12.6,SW,39,16:12,27.9,45,1,E,11,1006.6,34.0,30,1,SSW,19,1002.9
,2025-02-6,23.4,33.5,0,12.0,12.3,SW,31,14:53,26.7,53,0,SSE,11,1006.1,32.0,42,0,WSW,20,1004.7
,2025-02-7,20.7,35.5,0,10.8,12.3,SW,31,15:38,25.4,55,6,SE,11,1009.8,32.9,41,1,SW,15,1005.3
,2025-02-8,21.6,36.6,0,9.4,11.1,ENE,30,00:53,26.8,53,6,NE,9,1005.1,35.6,34,5,SW,13,1000.9
,2025-02-9,22.1,27.4,0,8.4,9.7,WSW,43,15:19,24.6,67,5,W,13,1003.4,26.5,53,5,W,17,1003.5
,2025-02-10,19.2,28.9,0,8.0,6.0,WSW,31,15:22,23.9,64,7,NW,9,1007.2,27.6,46,2,WSW,17,1005.9
,2025-02-11,21.8,25.7,0,6.6,9.5,SW,54,15:37,24.2,53,7,SW,19,1008.2,23.0,46,6,SW,26,1010.1
,2025-02-12,14.4,25.0,0,8.4,12.2,WSW,46,14:01,19.9,58,1,SSE,17,1016.7,23.2,45,1,SW,20,1016.4
,2025-02-13,14.0,26.2,0,8.2,10.7,SE,43,10:36,18.7,55,5,ESE,11,1022.1,25.5,47,0,SSW,15,1016.7
,2025-02-14,16.3,32.1,0,8.0,12.3,ESE,31,07:29,21.2,54,0,E,13,1020.3,31.6,21,0,ESE,9,1015.3
,2025-02-15,17.6,36.1,0,9.2,12.3,NE,37,07:59,24.1,42,0,E,13,1015.8,36.0,18,0,NE,7,1011.0
,2025-02-16,17.7,36.0,0,10.8,12.3,SW,43,16:34,28.7,21,1,NE,17,1010.6,33.9,14,1,WSW,20,1007.5
,2025-02-17,19.4,35.7,0,9.8,11.4,E,31,14:13,26.2,45,5,NE,17,1012.7,35.4,19,5,ESE,13,1010.2
,2025-02-18,21.2,26.5,0,11.0,2.7,E,35,12:38,24.4,56,2,E,13,1016.9,24.2,59,7,E,15,1016.0
,2025-02-19,20.2,34.9,0,5.2,12.1,SE,41,17:13,25.2,57,1,E,15,1014.8,34.0,30,1,E,9,1010.3
,2025-02-20,19.7,28.6,0,8.6,11.7,WSW,30,13:35,25.5,67,2,SW,11,1013.5,27.2,55,1,SW,15,1012.6
,2025-02-21,20.7,26.2,0,6.2,8.5,SSW,43,19:59,23.7,56,6,SSW,9,1015.3,24.3,52,6,SW,17,1015.0
,2025-02-22,15.6,24.3,0,8.2,12.0,SW,41,15:34,18.3,37,1,SSE,19,1021.5,23.1,37,0,SSW,19,1018.1
,2025-02-23,15.3,32.9,0,8.8,12.1,SE,33,02:23,21.3,49,0,E,11,1019.8,31.4,23,0,ESE,11,1014.3
,2025-02-24,14.3,27.4,0,8.2,11.9,WSW,30,13:15,25.1,66,0,NE,9,1013.7,26.1,54,1,WSW,13,1014.5
,2025-02-25,18.1,27.3,0,6.6,10.4,SW,35,17:46,22.3,59,3,SSW,9,1019.5,26.1,54,7,SW,15,1018.1
,2025-02-26,19.3,33.0,0,7.2,5.9,SW,33,21:37,26.0,55,6,E,9,1018.9,28.0,51,8,SSW,11,1016.3
,2025-02-27,19.4,26.6,0,6.0,2.1,SSW,26,11:14,22.1,66,7,SE,2,1019.1,25.8,52,7,SSW,7,1017.7
,2025-02-28,16.3,29.7,0,4.6,12.0,SSW,37,14:41,23.5,58,0,E,7,1019.3,26.1,52,0,SSW,20,1017.5
