"Daily Weather Observations for Perth, Western Australia for May 2025"
"Prepared at 08:20 UTC on Saturday 24 May 2025   IDCJDW6111.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,12.2,31.6,0,5.8,9.9,N,39,12:11,22.6,35,7,NE,15,1021.3,27.3,32,7,NW,13,1018.1
,2025-05-2,16.7,27.7,0,4.4,5.8,WNW,35,13:17,19.4,71,7,NNE,9,1015.9,26.5,45,3,NW,13,1013.1
,2025-05-3,19.1,21.8,6.6,4.4,4.6,SW,43,10:40,19.9,77,5,SW,17,1014.1,21.4,51,6,WSW,17,1014.1
,2025-05-4,13.2,21.7,0,2.8,3.5,SW,30,09:57,20.3,47,5,WSW,9,1018.1,20.4,58,7,WSW,13,1018.4
,2025-05-5,13.8,22.6,1.2,2.2,0.5,SW,20,16:19,16.0,98,8,NNE,2,1024.0,21.7,56,7,SSW,6,1022.4
,2025-05-6,9.8,24.0,0,2.0,9.5,SW,26,16:34,17.2,73,4,SSW,7,1026.3,22.7,50,1,SSW,13,1023.5
,2025-05-7,9.0,25.4,0,2.6,9.7,ENE,26,05:35,16.3,76,1,NE,9,1026.7,25.1,41,1,ENE,9,1021.5
,2025-05-8,13.7,31.1,0,3.8,9.7,ENE,31,09:17,19.8,58,1,NE,13,1022.4,30.0,25,1,SE,4,1018.6
,2025-05-9,12.3,33.8,0,4.6,9.8,NNW,28,15:17,22.4,45,0,NE,9,1020.8,32.6,19,0,NW,9,1017.2
,2025-05-10,14.3,25.9,0,4.8,9.7,SSW,30,15:45,20.0,82,1,ESE,6,1021.5,25.6,50,2,SW,13,1019.3
,2025-05-11,15.7,26.2,0,2.4,9.6,SE,24,01:46,19.0,70,1,E,9,1023.5,25.7,46,1,SSE,11,1020.3
,2025-05-12,14.7,24.4,0,5.0,9.5,SSW,33,15:45,18.5,70,0,E,9,1022.6,22.4,58,0,SSW,20,1021.4
,2025-05-13,14.3,24.8,0,4.6,9.4,SE,30,03:46,17.6,71,1,ESE,9,1028.1,24.6,42,1,SE,15,1025.5
,2025-05-14,13.3,25.5,0,3.4,9.5,E,26,09:25,16.5,67,0,E,9,1029.7,25.4,37,,SE,6,1026.5
,2025-05-15,11.8,26.3,0,4.8,9.5,NNE,22,11:01,17.1,60,,ENE,7,1026.8,25.2,32,0,SW,11,1023.2
,2025-05-16,9.7,27.1,0,3.4,9.5,NE,20,10:55,17.8,60,0,ENE,6,1025.3,26.4,29,1,NE,4,1022.4
,2025-05-17,9.5,26.8,0,4.0,9.5,NE,30,10:57,18.0,50,1,NE,11,1026.4,25.8,23,1,ENE,4,1023.0
,2025-05-18,7.3,26.7,0,4.2,9.5,NNE,35,10:25,18.1,39,0,NE,13,1025.3,26.0,23,0,N,7,1021.1
,2025-05-19,7.5,24.7,0,3.6,8.0,SW,48,14:51,16.5,46,1,NW,7,1021.6,20.4,68,3,SSW,22,1021.6
,2025-05-20,6.0,21.6,0,3.0,9.4,ENE,24,10:33,12.8,71,0, ,Calm,1030.7,20.8,35,0,ESE,7,1027.4
,2025-05-21,8.3,25.1,0,3.6,9.3,NE,22,10:31,15.3,59,0,ENE,7,1028.7,24.6,32,0,SW,7,1024.4
,2025-05-22,7.2,23.7,0,2.8,6.2,SSW,33,23:16,14.5,57,5,WSW,9,1021.0,22.1,58,7,W,13,1016.4
,2025-05-23,11.6,16.2,11.4,2.2,5.6,SSE,41,00:54,11.8,85,3,SSE,9,1017.8,15.9,57,2,SSW,15,1016.6
,2025-05-24,4.7,,0.6,2.4,,,,,11.1,69,6,S,6,1019.7,15.5,65,6,NW,11,1016.8
